C:\Users\Cogneuro\Desktop\Ã·º¹fMRI_FCSL\ASRT_main\Data\ASRT_dog_3T_fMRI_800_600_Run1-1-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Instr1.DEVICE,Instr2.DEVICE,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run1,Run1.Cycle,Run1.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,PracBlockList2,PracBlockList2.Cycle,PracBlockList2.Sample,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE,DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,PracTrialList3,PracTrialList3.Cycle,PracTrialList3.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,1,1,,,,,,,,,,,1,1,Keyboard,-11,11,81108,0,1,365,81473,,1,365,1,81108,1,365,Images\B1.bmp,Images\B1.bmp,,,,,,,1,1,1,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,2,3,,,,,,,,,,,1,3,Keyboard,-4,4,81721,0,3,311,82032,,3,311,1,81721,3,311,Images\B3.bmp,Images\B3.bmp,,,,,,,1,2,2,TrialProc,3,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,3,3,,,,,,,,,,,1,3,Keyboard,-14,14,82351,0,3,310,82661,,3,310,1,82351,3,310,Images\B3.bmp,Images\B3.bmp,,,,,,,1,3,3,TrialProc,3,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,4,1,,,,,,,,,,,1,1,Keyboard,-8,8,82965,0,1,381,83346,,1,381,1,82965,1,381,Images\B1.bmp,Images\B1.bmp,,,,,,,1,4,4,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,5,2,,,,,,,,,,,1,2,Keyboard,-1,1,83578,0,2,327,83905,,2,327,1,83578,2,327,Images\B2.bmp,Images\B2.bmp,,,,,,,1,5,5,TrialProc,2,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,6,1,,,,,,,,,,,1,1,Keyboard,-11,11,84208,0,1,322,84530,,1,322,1,84208,1,322,Images\B1.bmp,Images\B1.bmp,,,,,,,1,6,6,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,7,1,,,,,,,,,,,1,1,Keyboard,-4,4,84821,0,1,348,85169,,1,348,1,84821,1,348,Images\B1.bmp,Images\B1.bmp,,,,,,,1,7,7,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,8,2,,,,,,,,,,,1,2,Keyboard,-14,14,85451,0,2,329,85780,,2,329,1,85451,2,329,Images\B2.bmp,Images\B2.bmp,,,,,,,1,8,8,TrialProc,2,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,9,1,,,,,,,,,,,1,1,Keyboard,-8,8,86065,0,1,297,86362,,1,297,1,86065,1,297,Images\B1.bmp,Images\B1.bmp,,,,,,,1,9,9,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6797417667504</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:34:18Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-1-1,60.319,EBList,1.0.0.689,1,Keyboard,Keyboard,1,-1512915379,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:34:18,3.0.3.43,1,0,,Keyboard,-999999,12,67148,0,s,7629,74777,0,,Keyboard,-999999,9,1100778,0,{SPACE},51020,1151798,0,,Keyboard,-999999,2,80279,0,s,498,80777,Press,PressRunProc1,1,1,1,Run1,1,1,,,,0,,Keyboard,-999999,2,140279,0,s,498,140777,1,1,1,PracBlockProc2,PracBlockList2,10,2,,,,,,,,,,,1,2,Keyboard,-1,1,86678,0,2,300,86978,,2,300,1,86678,2,300,Images\B2.bmp,Images\B2.bmp,,,,,,,1,10,10,TrialProc,2,PracTrialList3,Prac
