C:\Users\Cogneuro\Desktop\Ã·º¹fMRI_FCSL\ASRT_main\Data\ASRT_dog_3T_fMRI_800_600_Run2-1-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run2,Run2.Cycle,Run2.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE,DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,1,3,,,,,,,,,,,1,3,Keyboard,-6,6,42835,0,3,357,43192,,3,357,1,42835,3,357,Images\B3.bmp,Images\B3.bmp,,,,1,1,1,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,2,1,,,,,,,,,,,1,1,Keyboard,0,0,43449,0,1,278,43727,,1,278,1,43449,1,278,Images\B1.bmp,Images\B1.bmp,,,,1,2,2,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,3,2,,,,,,,,,,,1,2,Keyboard,-10,10,44079,0,2,309,44388,,2,309,1,44079,2,309,Images\B2.bmp,Images\B2.bmp,,,,1,3,3,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,4,4,,,,,,,,,,,0,4,Keyboard,-3,3,44692,0,3,316,45008,,4,,0,44692,3,316,Images\B4.bmp,Images\B4.bmp,,,,1,4,4,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,5,3,,,,,,,,,,,1,3,Keyboard,-13,13,45322,0,3,329,45651,,3,329,1,45322,3,329,Images\B3.bmp,Images\B3.bmp,,,,1,5,5,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,6,1,1,1,Keyboard,-6,6,45935,0,1,242,46177,,,,,,,,,,,1,1,242,1,45935,1,242,Images\R1.bmp,Images\B1.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,7,1,,,,,,,,,,,1,1,Keyboard,0,0,46549,0,1,363,46912,,1,363,1,46549,1,363,Images\B1.bmp,Images\B1.bmp,2,1,2,,,,TrialProc,1,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,8,2,1,2,Keyboard,-10,10,47179,0,2,321,47500,,,,,,,,,,,2,2,321,1,47179,2,321,Images\R1.bmp,Images\B2.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,9,1,,,,,,,,,,,1,1,Keyboard,-3,3,47792,0,1,318,48110,,1,318,1,47792,1,318,Images\B1.bmp,Images\B1.bmp,4,1,4,,,,TrialProc,1,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,1,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">6809332427519</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-15T00:54:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-1-1,60.317,EBList,1.0.0.667,1,1,1811856500,RList,Full,3.0.3.60,3.0.3.60,03-15-2019,,9:54:10,3.0.3.43,1,0,,Keyboard,-999999,9,8152,0,s,28356,36508,0,,Keyboard,-999999,21,762521,0,{SPACE},102633,865154,0,,Keyboard,-999999,14,42023,0,s,485,42508,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,14,102023,0,s,485,102508,BlockProc,BlockList,10,3,1,3,Keyboard,-13,13,48422,0,3,262,48684,,,,,,,,,,,3,3,262,1,48422,3,262,Images\R1.bmp,Images\B3.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
