C:\Users\Cogneuro\Desktop\Ã·º¹fMRI_FCSL\ASRT_main\ASRT_dog_3T_fMRI_800_600_Run2-3-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run2,Run2.Cycle,Run2.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,DisplayLetter.DEVICE[Trial],Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE[SubTrial],DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,1,4,,,,,,,,,,,1,4,Keyboard,-3,3,53515,0,4,325,53840,,4,325,1,53515,4,325,Images\B4.bmp,Images\B4.bmp,,,,1,1,1,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,2,4,,,,,,,,,,,1,4,Keyboard,-13,13,54145,0,4,349,54494,,4,349,1,54145,4,349,Images\B4.bmp,Images\B4.bmp,,,,1,2,2,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,3,2,,,,,,,,,,,1,2,Keyboard,-7,7,54759,0,2,339,55098,,2,339,1,54759,2,339,Images\B2.bmp,Images\B2.bmp,,,,1,3,3,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,4,1,,,,,,,,,,,1,1,Keyboard,0,0,55372,0,1,377,55749,,1,377,1,55372,1,377,Images\B1.bmp,Images\B1.bmp,,,,1,4,4,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,5,1,,,,,,,,,,,1,1,Keyboard,-10,10,56002,0,1,219,56221,,1,219,1,56002,1,219,Images\B1.bmp,Images\B1.bmp,,,,1,5,5,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,6,1,1,1,Keyboard,-4,4,56616,0,1,267,56883,,,,,,,,,,,1,1,267,1,56616,1,267,Images\R1.bmp,Images\B1.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,7,3,,,,,,,,,,,0,3,Keyboard,-14,14,57246,0,1,167,57413,,3,,0,57246,1,167,Images\B3.bmp,Images\B3.bmp,2,1,2,,,,TrialProc,3,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,8,3,1,3,Keyboard,-7,7,57859,0,3,303,58162,,,,,,,,,,,3,3,303,1,57859,3,303,Images\R1.bmp,Images\B3.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,9,4,,,,,,,,,,,1,4,Keyboard,0,0,58472,0,4,326,58798,,4,326,1,58472,4,326,Images\B4.bmp,Images\B4.bmp,4,1,4,,,,TrialProc,4,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,3,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">38136577206</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T00:50:40Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-3-1,60.323,EBList,1.0.0.673,1,3,-515572006,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,,9:50:41,3.0.3.43,1,0,,Keyboard,-999999,9,7458,0,s,39734,47192,0,,Keyboard,-999999,18,773202,0,{SPACE},30008,803210,0,,Keyboard,-999999,11,52703,0,s,489,53192,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,,0,,Keyboard,-999999,11,112703,0,s,489,113192,BlockProc,BlockList,10,2,0,2,Keyboard,-10,10,59102,0,4,236,59338,,,,,,,,,,,2,2,,0,59102,4,236,Images\R1.bmp,Images\B2.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
