C:\Users\Cogneuro\Desktop\첨복fMRI_FCSL\ASRT_main\ASRT_dog_3T_fMRI_800_600_Run3-5-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,EndMsg.DEVICE,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run3,Run3.Cycle,Run3.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,DisplayLetter.DEVICE[Trial],Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE[SubTrial],DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,1,3,,,,,,,,,,,1,3,Keyboard,-1,1,86473,0,3,290,86763,,3,290,1,86473,3,290,Images\B3.bmp,Images\B3.bmp,,,,1,1,1,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,2,1,,,,,,,,,,,1,1,Keyboard,-11,11,87103,0,1,307,87410,,1,307,1,87103,1,307,Images\B1.bmp,Images\B1.bmp,,,,1,2,2,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,3,3,,,,,,,,,,,1,3,Keyboard,-5,5,87717,0,3,277,87994,,3,277,1,87717,3,277,Images\B3.bmp,Images\B3.bmp,,,,1,3,3,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,4,2,,,,,,,,,,,0,2,Keyboard,-15,15,88347,0,3,224,88571,,2,,0,88347,3,224,Images\B2.bmp,Images\B2.bmp,,,,1,4,4,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,5,2,,,,,,,,,,,1,2,Keyboard,-8,8,88960,0,2,377,89337,,2,377,1,88960,2,377,Images\B2.bmp,Images\B2.bmp,,,,1,5,5,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,6,1,1,1,Keyboard,-2,2,89574,0,1,330,89904,,,,,,,,,,,1,1,330,1,89574,1,330,Images\R1.bmp,Images\B1.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,7,1,,,,,,,,,,,1,1,Keyboard,-12,12,90204,0,1,340,90544,,1,340,1,90204,1,340,Images\B1.bmp,Images\B1.bmp,2,1,2,,,,TrialProc,1,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,8,4,1,4,Keyboard,-5,5,90817,0,4,363,91180,,,,,,,,,,,4,4,363,1,90817,4,363,Images\R1.bmp,Images\B4.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,9,2,,,,,,,,,,,1,2,Keyboard,-15,15,91447,0,2,341,91788,,2,341,1,91447,2,341,Images\B2.bmp,Images\B2.bmp,4,1,4,,,,TrialProc,2,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run3,5,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">152184767713</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-03-19T04:00:45Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-5-1,60.318,EBList,Keyboard,1.0.0.671,1,5,1861666734,RList,Full,3.0.3.60,3.0.3.60,03-19-2019,2019-03-19 오전 4:00:45,13:00:45,3.0.3.43,1,0,,Keyboard,-999999,22,23008,0,s,57144,80152,0,,Keyboard,-999999,9,85661,0,s,491,86152,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,,0,,Keyboard,-999999,9,145661,0,s,491,146152,BlockProc,BlockList,10,2,1,2,Keyboard,-9,9,92061,0,2,277,92338,,,,,,,,,,,2,2,277,1,92061,2,277,Images\R1.bmp,Images\B2.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
