C:\Users\Cogneuro\Desktop\첨복fMRI_FCSL\ASRT_main\ASRT_dog_3T_fMRI_800_600_Run3-24-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,EndMsg.DEVICE,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run3,Run3.Cycle,Run3.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE,DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,1,4,,,,,,,,,,,1,4,Keyboard,-6,6,39648,0,4,405,40053,,4,405,1,39648,4,405,Images\B4.bmp,Images\B4.bmp,,,,1,1,1,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,2,3,,,,,,,,,,,1,3,Keyboard,-16,16,40278,0,3,309,40587,,3,309,1,40278,3,309,Images\B3.bmp,Images\B3.bmp,,,,1,2,2,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,3,4,,,,,,,,,,,1,4,Keyboard,-9,9,40891,0,4,281,41172,,4,281,1,40891,4,281,Images\B4.bmp,Images\B4.bmp,,,,1,3,3,TrialProc,4,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,4,3,,,,,,,,,,,0,3,Keyboard,-3,3,41505,0,4,239,41744,,3,,0,41505,4,239,Images\B3.bmp,Images\B3.bmp,,,,1,4,4,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,5,1,,,,,,,,,,,1,1,Keyboard,-13,13,42135,0,1,324,42459,,1,324,1,42135,1,324,Images\B1.bmp,Images\B1.bmp,,,,1,5,5,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,6,4,1,4,Keyboard,-6,6,42748,0,4,320,43068,,,,,,,,,,,4,4,320,1,42748,4,320,Images\R1.bmp,Images\B4.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,7,1,,,,,,,,,,,0,1,Keyboard,0,0,43362,0,4,212,43574,,1,,0,43362,4,212,Images\B1.bmp,Images\B1.bmp,2,1,2,,,,TrialProc,1,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,8,3,1,3,Keyboard,-10,10,43992,0,3,296,44288,,,,,,,,,,,3,3,296,1,43992,3,296,Images\R1.bmp,Images\B3.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,9,2,,,,,,,,,,,1,2,Keyboard,-3,3,44605,0,2,343,44948,,2,343,1,44605,2,343,Images\B2.bmp,Images\B2.bmp,4,1,4,,,,TrialProc,2,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run3,24,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2653531137987</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-05T04:02:12Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run3-24-1,60.319,EBList,Keyboard,1.0.0.728,1,24,-757881119,RList,Full,3.0.3.60,3.0.3.60,04-05-2019,2019-04-05 오전 4:02:12,13:02:12,3.0.3.43,1,0,,Keyboard,-999999,18,8280,0,s,25042,33322,0,,Keyboard,-999999,14,38836,0,s,486,39322,Press,PressRunProc2,1,1,1,Run3,3,1,1,1,1,0,,Keyboard,-999999,14,98836,0,s,486,99322,BlockProc,BlockList,10,2,1,2,Keyboard,-13,13,45235,0,2,266,45501,,,,,,,,,,,2,2,266,1,45235,2,266,Images\R1.bmp,Images\B2.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
