C:\Users\Cogneuro\Desktop\첨복fMRI_FCSL\ASRT_main\Data\ASRT_dog_3T_fMRI_800_600_Run2-30-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run2,Run2.Cycle,Run2.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE,DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,1,3,,,,,,,,,,,1,3,Keyboard,-13,13,39257,0,3,372,39629,,3,372,1,39257,3,372,Images\B3.bmp,Images\B3.bmp,,,,1,1,1,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,2,3,,,,,,,,,,,1,3,Keyboard,-7,7,39871,0,3,301,40172,,3,301,1,39871,3,301,Images\B3.bmp,Images\B3.bmp,,,,1,2,2,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,3,1,,,,,,,,,,,0,1,Keyboard,0,0,40484,0,3,211,40695,,1,,0,40484,3,211,Images\B1.bmp,Images\B1.bmp,,,,1,3,3,TrialProc,1,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,4,2,,,,,,,,,,,1,2,Keyboard,-10,10,41114,0,2,307,41421,,2,307,1,41114,2,307,Images\B2.bmp,Images\B2.bmp,,,,1,4,4,TrialProc,2,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,5,3,,,,,,,,,,,1,3,Keyboard,-4,4,41728,0,3,266,41994,,3,266,1,41728,3,266,Images\B3.bmp,Images\B3.bmp,,,,1,5,5,TrialProc,3,PracTrialList,Prac
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,6,1,1,1,Keyboard,-14,14,42358,0,1,303,42661,,,,,,,,,,,1,1,303,1,42358,1,303,Images\R1.bmp,Images\B1.bmp,1,1,1,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,7,4,,,,,,,,,,,1,4,Keyboard,-7,7,42971,0,4,330,43301,,4,330,1,42971,4,330,Images\B4.bmp,Images\B4.bmp,2,1,2,,,,TrialProc,4,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,8,4,1,4,Keyboard,-1,1,43585,0,4,261,43846,,,,,,,,,,,4,4,261,1,43585,4,261,Images\R1.bmp,Images\B4.bmp,3,1,3,,,,TrialProc2,RList,LearnTrialList,P
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,9,2,,,,,,,,,,,0,2,Keyboard,-11,11,44215,0,4,221,44436,,2,,0,44215,4,221,Images\B2.bmp,Images\B2.bmp,4,1,4,,,,TrialProc,2,LearnTrialList,R
ASRT_dog_3T_fMRI_800_600_Run2,30,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">18142520486877</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-23T02:16:54Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run2-30-1,60.317,EBList,1.0.0.750,1,30,581316518,RList,Full,3.0.3.60,3.0.3.60,04-23-2019,2019-04-23 오전 2:16:54,11:16:54,3.0.3.43,1,0,,Keyboard,-999999,10,7641,0,s,25275,32916,0,,Keyboard,-999999,19,758928,0,{SPACE},24885,783813,0,,Keyboard,-999999,13,38429,0,s,495,38924,Press,PressRunProc,1,1,1,Run2,2,1,1,1,1,0,,Keyboard,-999999,5,98429,0,s,487,98916,BlockProc,BlockList,10,3,1,3,Keyboard,-4,4,44828,0,3,289,45117,,,,,,,,,,,3,3,289,1,44828,3,289,Images\R1.bmp,Images\B3.bmp,5,1,5,,,,TrialProc2,RList,LearnTrialList,P
