C:\Users\Cogneuro\Desktop\첨복fMRI_FCSL\ASRT_main\Data\ASRT_dog_3T_fMRI_800_600_Run1-34-1.edat3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,EList,ExperimentVersion,Group,Instr1.DEVICE,Instr2.DEVICE,Name,RandomSeed,RList[Session],RuntimeCapabilities,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,Fixation1.ACC,Fixation1.CRESP,Fixation1.DEVICE,Fixation1.DurationError,Fixation1.OnsetDelay,Fixation1.OnsetTime,Fixation1.OnsetToOnsetTime,Fixation1.RESP,Fixation1.RT,Fixation1.RTTime,ImageDisplay1.ACC,ImageDisplay1.CRESP,ImageDisplay1.DEVICE,ImageDisplay1.DurationError,ImageDisplay1.OnsetDelay,ImageDisplay1.OnsetTime,ImageDisplay1.OnsetToOnsetTime,ImageDisplay1.RESP,ImageDisplay1.RT,ImageDisplay1.RTTime,ImageDisplay2.ACC,ImageDisplay2.CRESP,ImageDisplay2.DEVICE,ImageDisplay2.DurationError,ImageDisplay2.OnsetDelay,ImageDisplay2.OnsetTime,ImageDisplay2.OnsetToOnsetTime,ImageDisplay2.RESP,ImageDisplay2.RT,ImageDisplay2.RTTime,MenuItem,Procedure[Block],Run1,Run1.Cycle,Run1.Sample,Running[Block],RunNum,Trial,BlockList,BlockList.Cycle,BlockList.Sample,DisplayLetter.DEVICE[Trial],Fixation14.ACC,Fixation14.CRESP,Fixation14.DEVICE,Fixation14.DurationError,Fixation14.OnsetDelay,Fixation14.OnsetTime,Fixation14.OnsetToOnsetTime,Fixation14.RESP,Fixation14.RT,Fixation14.RTTime,PracBlockList2,PracBlockList2.Cycle,PracBlockList2.Sample,Procedure[Trial],Running[Trial],SubTrial,CorrectResponse,DisplayBlack.ACC,DisplayBlack.CRESP,DisplayBlack.DEVICE,DisplayBlack.DurationError,DisplayBlack.OnsetDelay,DisplayBlack.OnsetTime,DisplayBlack.OnsetToOnsetTime,DisplayBlack.RESP,DisplayBlack.RT,DisplayBlack.RTTime,DisplayLetter.ACC,DisplayLetter.CRESP,DisplayLetter.DEVICE[SubTrial],DisplayLetter.DurationError,DisplayLetter.OnsetDelay,DisplayLetter.OnsetTime,DisplayLetter.OnsetToOnsetTime,DisplayLetter.RESP,DisplayLetter.RT,DisplayLetter.RTTime,EBList,event,finalRT,firstACC,firstON,firstRESP,firstRT,ImageFile1,ImageFile2,LearnTrialList,LearnTrialList.Cycle,LearnTrialList.Sample,PracTrialList,PracTrialList.Cycle,PracTrialList.Sample,PracTrialList3,PracTrialList3.Cycle,PracTrialList3.Sample,Procedure[SubTrial],RList[SubTrial],Running[SubTrial],TrialType
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,1,4,,,,,,,,,,,1,4,Keyboard,-10,10,642871,0,4,422,643293,,4,422,1,642871,4,422,Images\B4.bmp,Images\B4.bmp,,,,,,,1,1,1,TrialProc,4,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,2,2,,,,,,,,,,,0,,,-3,3,643484,0,,0,0,,2,-643484,0,643484,,0,Images\B2.bmp,Images\B2.bmp,,,,,,,1,2,2,TrialProc,2,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,3,2,,,,,,,,,,,1,2,Keyboard,-13,13,644114,0,2,382,644496,,2,382,1,644114,2,382,Images\B2.bmp,Images\B2.bmp,,,,,,,1,3,3,TrialProc,2,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,4,4,,,,,,,,,,,1,4,Keyboard,-7,7,644728,0,4,420,645148,,4,420,1,644728,4,420,Images\B4.bmp,Images\B4.bmp,,,,,,,1,4,4,TrialProc,4,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,5,2,,,,,,,,,,,0,2,Keyboard,0,0,645341,0,1,375,645716,,2,,0,645341,1,375,Images\B2.bmp,Images\B2.bmp,,,,,,,1,5,5,TrialProc,2,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,6,1,,,,,,,,,,,0,,,-10,10,645971,0,,0,0,,1,-645971,0,645971,,0,Images\B1.bmp,Images\B1.bmp,,,,,,,1,6,6,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,7,3,,,,,,,,,,,1,3,Keyboard,-4,4,646585,0,3,410,646995,,3,410,1,646585,3,410,Images\B3.bmp,Images\B3.bmp,,,,,,,1,7,7,TrialProc,3,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,8,1,,,,,,,,,,,1,1,Keyboard,-14,14,647215,0,1,425,647640,,1,425,1,647215,1,425,Images\B1.bmp,Images\B1.bmp,,,,,,,1,8,8,TrialProc,1,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,9,3,,,,,,,,,,,1,3,Keyboard,-7,7,647828,0,3,484,648312,,3,484,1,647828,3,484,Images\B3.bmp,Images\B3.bmp,,,,,,,1,9,9,TrialProc,3,PracTrialList3,Prac
ASRT_dog_3T_fMRI_800_600_Run1,34,1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">2567021692685</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2019-04-26T02:16:16Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",ASRT_dog_3T_fMRI_800_600_Run1-34-1,60.321,EBList,1.0.0.818,1,Keyboard,Keyboard,34,-1366184016,RList,Full,3.0.3.60,3.0.3.60,04-26-2019,2019-04-26 오전 2:16:16,11:16:16,3.0.3.43,1,0,,Keyboard,-999999,10,624120,0,s,12413,636533,0,,Keyboard,-999999,16,1662540,0,{SPACE},20046,1682586,0,,Keyboard,-999999,9,642042,0,s,499,642541,Press,PressRunProc1,1,1,1,Run1,1,1,,,,,0,,Keyboard,-999999,1,702042,0,s,491,702533,1,1,1,PracBlockProc2,PracBlockList2,10,1,,,,,,,,,,,1,1,Keyboard,-1,1,648442,0,1,424,648866,,1,424,1,648442,1,424,Images\B1.bmp,Images\B1.bmp,,,,,,,1,10,10,TrialProc,1,PracTrialList3,Prac
